HU_INSPECT : 我们想要成年人。
CHAGAX_TALK : 我帮助别人。他们打败了我，我是男人……我与众不同吗？胜利永远不是从他从未见过的任何事物中获得的。
HU_DEFEAT : 我的心在爱的梦中跳动<page>哦……我记得。骄傲……谁是野兽？现在我记得他的眼睛……明亮而清澈。我为什么要害怕他们？<page>如果我在这个国家疯了，我会的，他们想离开我。<page>当我发布时，他们是对的......<page>他们会杀了你...<page>你明白...使用。
MOLTEN_TALK : 不是从消极的角度来看。虽然我的身体在变化和变化，但我的性格是一样的。
KCIN_REPEAT : 政府的意图是客观的。最好再找一个。
HEX_REPEAT : 你让别人吃惊。你不是我所期望的
XERO_REPEAT : Pumsy 总是好的吗？你想笑着用两种武器摧毁它吗？
GROHAC_TALK : 我们经常被提醒我们的错误。不要被你的错误所迷惑。但是注意你在哪里。
GALIEN_REPEAT : 我们在挣扎什么？在幸福的战争中测试你的实力。
KARINA_TALK : 你尊重我美丽的女主角吗？如你所见，我周五没有看到他们。但我感觉很好。
THISTLEWIND_TALK : 是的客人。<page>我在那里待了很长时间，做了很多工作，这对我来说非常困难。<page>我已经很久没有在哈罗斯特的洞穴中行走了，我觉得我的旅程很危险，但我还是要应对风暴。宽阔的地板。
WAYNER_TALK : 另一个行动自由！我出生了，我可以说，但我害怕我会永远失去理智。
ALADAR_INSPECT : 他的背影是尼克，马格努斯。
MUMCAT_TALK : 基因！国王来了！我已经等了很久了，现在我来了！我的团队！<page>试试这个神圣的花园！我总是照顾她，很快我的女儿就会学会飞行！我们是外国人吗？没有桨。
PERPETOS_TALK : 你愿意花时间在我们的花园里吗？我想劝你，但看看你的生命和危险就足够了。
GARRO_REPEAT : 没有大英雄了。
GRASSHOPPER_TALK : 这不是最美的地方吗？我们有很多研究要做。我们迟到了，尽管我们无法就如何进行达成一致。这造成了我们之间的隔阂。我们真的需要停止担心这些小事。
100NAIL_TALK : 您需要短途旅行吗？我只穿三件不同的夹克。我想在它通过之前做。
MILLY_REPEAT : 给我买蛋糕！我终于可以回家了。
MAGNUS_TALK : 毁灭性的能量能够解决生活中的所有问题。魔法很容易，我会永远活着。如果你不累，我建议你效仿我的做法。
ATRA_REPEAT : 桶很担心我的样子。但我说的是世界。
GALIEN_DEFEAT : 嗯……我会活到最后！不要觉得自己是赢家...<page>但我感觉很好，不是吗？当你看到我们的国王时我的勇气......？<page>好吧，绝对不是BT。我知道他没有忘记那个好女孩。<page>现在我正在计划旅行，你和我的兄弟要去这里......... 全部 ...
GALIEN_INSPECT : 村里的姑娘们。
NOEYES_REPEAT : 有些动物在黑暗中来到我们身边……这对我有什么影响吗？
HU_REPEAT : 孕育出惊人的梦想。金星猴
PERPETOS_REPEAT : 即使是最小的事情也会影响你。我也是斗士，但我不想打败你
GRAVEDIGGER_REPEAT : 做你想做的，你喜欢它。期待你的未来。我没有抱怨。这是一种管教像我这样的人的方式。
MARKOTH_TALK : 在世界的任何地方，我都远未死去。<page>不是因为我不说话。我从像你这样的人那里听到了成千上万的笑话。你的荣誉，你的热情，你的怨恨……如果你找到我，我会全力以赴。所以举起你的手 è mori com'è 很好。
MARISSA_REPEAT : 善待他人，即使你一个人。
NOEYES_INSPECT : 木雕石头。
HIVEQUEEN_TALK : 我对你的类型有点了解。<page>如果你想清理你过去的生活。你知道我不是你要找的女王吗？<page>它们是多彩的生物，负责你的心情。这个巢穴是在万圣节发现的，但我们不对它的行为负责。
XERO_DEFEAT : 哦，当然，他们拿起武器摧毁了叛军。<page>他告诉我，我是个疯狂的叛徒我知道你没有跑。我到处走
MUMCAT_DEFEAT : 嘿，太好了……强。她对我很坚强...<page>我已经等一个陌生人很久了。<page>我累了！公主来了，我要睡觉了。<page>唉，另一个女王，也许你的女王会教我飞翔，陌生人。那会很有趣......不......
BOSS_TALK : 从那以后，我的武器很好，但我不是你这样的虫子。
MAGNUS_REPEAT : 请记住错误地解决您的恐惧。你的问题的答案是消灭敌人。
REVEK_TALK : 病毒擦了我的脸。尊重他们，这样你才能忍受，谦卑自己，为我而战。
ATRA_TALK : 不要害怕他。痛了一次，但更多的风浪袭来。
MUMCAT_REPEAT : 我们住在一起吗，陌生人？别玩了
XERO_TALK : 女孩们！从地球上飞来的人受到诅咒。在这里你可以休息去睡觉。<page>希望和自由。我想我只能做好事。在梦中，他用手指敲打国王。<page>当我从这个教堂起身时，我明白了。虚假在等待山很美吗？你们都命令我们还是确定？
WYATT_TALK : 要好！我病了，我不喜欢吸烟。该系统是安全的，但难以访问。
HIVEQUEEN_EXTRA : 毕竟我的梦想是自由。
MAGE_LORD : 我在梦里见过他。拯救王国，医治病人……答案在于更新我们身体的精神。<page>但是国王……为什么？ ！！与我所做的相反...<page>那个嫉妒……那个嫉妒……夺走了我不朽的生命！国王和贵族都死了，但我永远活着。
MARKOTH_INSPECT : 钢铁传奇守卫。
HIVEQUEEN_REPEAT : 自然判断是愚蠢的。每个人都必须做出决定。
